Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A09002_001,SE_A09002_002,SE_A09002_003,SE_A09002_004,SE_A09002_005,SE_A09002_006,SE_A09002_007,SE_A09002_008
"06037122120","Census Tract 1221.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1221.20",,,,2065,1743,1188,555,115,0,0,23,21,163,1902,0,365,679,451,134,185,88
"06037122121","Census Tract 1221.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1221.21",,,,1283,1119,943,176,76,0,0,32,0,56,1227,20,193,492,313,126,83,0
"06037122122","Census Tract 1221.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1221.22",,,,992,807,686,121,115,0,0,60,0,10,982,16,229,434,151,14,102,36
"06037122200","Census Tract 1222, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1222",,,,1819,1604,1430,174,8,0,0,61,14,132,1687,18,267,813,290,168,107,24
"06037122410","Census Tract 1224.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1224.10",,,,1997,1679,1366,313,108,0,0,44,0,166,1831,20,182,683,689,93,141,23
"06037122420","Census Tract 1224.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1224.20",,,,2501,2000,1636,364,181,0,40,0,36,244,2257,34,246,782,548,308,285,54
"06037123010","Census Tract 1230.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1230.10",,,,1617,1301,1104,197,90,0,7,57,84,78,1539,46,302,481,275,190,163,82
"06037123020","Census Tract 1230.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1230.20",,,,1492,1324,1017,307,31,0,8,6,15,108,1384,0,226,684,235,153,53,33
"06037123103","Census Tract 1231.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1231.03",,,,2334,1871,1728,143,71,0,0,22,0,370,1964,14,469,721,370,189,158,43
"06037123104","Census Tract 1231.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1231.04",,,,2286,1793,1573,220,151,10,0,43,0,289,1997,0,461,678,411,228,206,13
"06037123203","Census Tract 1232.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1232.03",,,,1419,1227,1117,110,82,0,0,57,0,53,1366,0,223,463,242,133,288,17
"06037123204","Census Tract 1232.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1232.04",,,,1514,1190,1077,113,172,0,10,47,0,95,1419,25,256,464,226,181,156,111
"06037123205","Census Tract 1232.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1232.05",,,,1301,999,794,205,198,0,0,5,0,99,1202,0,167,428,264,69,160,114
"06037123206","Census Tract 1232.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1232.06",,,,1027,733,652,81,91,0,0,36,32,135,892,14,211,292,232,74,39,30
"06037123301","Census Tract 1233.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"123301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1233.01",,,,2388,1850,1558,292,122,0,9,45,39,323,2065,0,284,720,494,248,299,20
