Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,PCT_SE_B09001_002,PCT_SE_B09001_003,PCT_SE_B09001_004,PCT_SE_B09001_005,PCT_SE_B09001_006,PCT_SE_B09001_007,PCT_SE_B09001_008
"06037104321","Census Tract 1043.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.21",,,,1072,7,187,106,357,143,203,69,0.65,17.44,9.89,33.3,13.34,18.94,6.44
"06037104322","Census Tract 1043.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.22",,,,762,20,164,275,160,118,25,0,2.62,21.52,36.09,21,15.49,3.28,0
"06037104401","Census Tract 1044.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.01",,,,1218,90,280,209,318,111,172,38,7.39,22.99,17.16,26.11,9.11,14.12,3.12
"06037104403","Census Tract 1044.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.03",,,,1078,84,376,305,217,46,20,30,7.79,34.88,28.29,20.13,4.27,1.86,2.78
"06037104404","Census Tract 1044.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.04",,,,1405,47,349,265,336,209,115,84,3.35,24.84,18.86,23.91,14.88,8.19,5.98
"06037104500","Census Tract 1045, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1045",,,,1359,95,340,268,273,163,161,59,6.99,25.02,19.72,20.09,11.99,11.85,4.34
"06037104610","Census Tract 1046.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.10",,,,1257,87,484,255,198,101,86,46,6.92,38.5,20.29,15.75,8.04,6.84,3.66
"06037104620","Census Tract 1046.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.20",,,,1575,88,381,343,322,168,169,104,5.59,24.19,21.78,20.44,10.67,10.73,6.6
"06037104701","Census Tract 1047.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.01",,,,1443,138,363,362,197,234,105,44,9.56,25.16,25.09,13.65,16.22,7.28,3.05
"06037104703","Census Tract 1047.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.03",,,,897,74,197,432,137,47,10,0,8.25,21.96,48.16,15.27,5.24,1.11,0
"06037104704","Census Tract 1047.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.04",,,,1584,48,363,482,284,296,86,25,3.03,22.92,30.43,17.93,18.69,5.43,1.58
"06037104821","Census Tract 1048.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.21",,,,1412,56,339,412,320,164,88,33,3.97,24.01,29.18,22.66,11.61,6.23,2.34
"06037104822","Census Tract 1048.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.22",,,,982,64,252,217,199,149,72,29,6.52,25.66,22.1,20.26,15.17,7.33,2.95
"06037104823","Census Tract 1048.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.23",,,,1167,88,188,234,297,299,54,7,7.54,16.11,20.05,25.45,25.62,4.63,0.6
"06037104824","Census Tract 1048.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.24",,,,1189,33,312,127,179,441,57,40,2.78,26.24,10.68,15.05,37.09,4.79,3.36
"06037106010","Census Tract 1060.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.10",,,,1403,72,323,333,267,240,113,55,5.13,23.02,23.73,19.03,17.11,8.05,3.92
